Date,Br,EC,Location,X2,WYT,Month
8/6/2012,0.105,385.6145833,ONG,78.89,BN,August
10/7/2012,0.135,612.7857143,ONG,85.89,D,October
10/8/2012,0.134,590.6610169,ONG,85.88,D,October
10/9/2012,0.135,581.3645833,ONG,85.89,D,October
10/10/2012,0.134,571.2045455,ONG,86.03,D,October
11/19/2012,0.4685,505.9246575,ONG,85.19,D,November
1/17/2013,0.207666667,582.8791209,ONG,65.02,D,January
1/18/2013,0.21325,600.4255319,ONG,65.37,D,January
1/19/2013,0.213833333,583.6344086,ONG,65.73,D,January
1/20/2013,0.200454545,544.0543478,ONG,66.09,D,January
1/21/2013,0.196083333,540.7934783,ONG,66.44,D,January
1/22/2013,0.199727273,543.2359551,ONG,66.8,D,January
1/23/2013,0.1966,535.0854701,ONG,67.12,D,January
1/24/2013,0.194875,529.0215054,ONG,67.38,D,January
2/10/2013,0.2435,606.4895833,ONG,69.55,D,February
2/11/2013,0.244,598.9487179,ONG,69.63,D,February
2/12/2013,0.241,596.7588652,ONG,69.72,D,February
2/13/2013,0.240875,594.8656716,ONG,69.87,D,February
2/14/2013,0.2392,595.5543478,ONG,70.04,D,February
2/21/2013,0.246,498.5609756,ONG,71.22,D,February
2/22/2013,0.23625,501.2395833,ONG,71.4,D,February
2/23/2013,0.220636364,525.03125,ONG,71.65,D,February
2/24/2013,0.209181818,557.9270833,ONG,71.93,D,February
2/25/2013,0.204545455,550.7916667,ONG,72.22,D,February
2/26/2013,0.203416667,540.5833333,ONG,72.52,D,February
2/27/2013,0.194666667,531.2150538,ONG,72.81,D,February
2/28/2013,0.1826,519.6575342,ONG,73.07,D,February
3/1/2013,0.160916667,509.7282609,ONG,73.34,D,March
3/2/2013,0.151363636,498.5217391,ONG,73.66,D,March
3/3/2013,0.146916667,487.6421053,ONG,73.99,D,March
3/4/2013,0.144727273,495.6021505,ONG,74.23,D,March
3/5/2013,0.138166667,491.8478261,ONG,74.51,D,March
3/6/2013,0.147666667,481.4347826,ONG,74.8,D,March
3/7/2013,0.139636364,480.0652174,ONG,75,D,March
3/8/2013,0.127545455,485.2765957,ONG,75.25,D,March
3/9/2013,0.121,481.9891304,ONG,75.42,D,March
3/10/2013,0.123416667,481.6304348,ONG,75.62,D,March
3/11/2013,0.123777778,481.7263158,ONG,75.77,D,March
3/14/2013,0.1774,486.0326087,ONG,75.53,D,March
3/15/2013,0.178,488.5698925,ONG,75.47,D,March
3/16/2013,0.180666667,494.3333333,ONG,75.42,D,March
3/17/2013,0.179583333,493.7717391,ONG,75.34,D,March
3/18/2013,0.174,481.5978261,ONG,75.28,D,March
3/19/2013,0.173,483.8,ONG,75.21,D,March
3/20/2013,0.176666667,484.2795699,ONG,75.2,D,March
3/21/2013,0.178555556,492,ONG,75.28,D,March
3/22/2013,0.181,492.0736842,ONG,75.37,D,March
3/23/2013,0.179,482.3548387,ONG,75.37,D,March
3/24/2013,0.183454545,498.7684211,ONG,75.52,D,March
3/25/2013,0.177833333,474.0215054,ONG,75.64,D,March
3/26/2013,0.173727273,479.5052632,ONG,75.75,D,March
3/27/2013,0.181545455,495.5053763,ONG,75.9,D,March
3/28/2013,0.186363636,496.1098901,ONG,76.16,D,March
3/29/2013,0.1845,488.2282609,ONG,76.47,D,March
3/30/2013,0.182777778,483.4347826,ONG,76.66,D,March
3/31/2013,0.177545455,470.5434783,ONG,76.56,D,March
4/1/2013,0.178666667,477.6086957,ONG,76.17,D,April
4/2/2013,0.1805,482.7826087,ONG,75.76,D,April
4/3/2013,0.177833333,480.1684211,ONG,75.33,D,April
4/4/2013,0.224222222,487.1354167,ONG,74.9,D,April
4/10/2013,0.24,485,ONG,73.56,D,April
4/11/2013,0.2385,485.9157895,ONG,73.47,D,April
4/12/2013,0.238,486.7222222,ONG,73.43,D,April
4/13/2013,0.230166667,486.5157895,ONG,73.43,D,April
4/14/2013,0.222666667,486.5894737,ONG,73.47,D,April
4/16/2013,0.206,486.9789474,ONG,73.58,D,April
4/17/2013,0.197,487.2421053,ONG,73.7,D,April
4/18/2013,0.187181818,489,ONG,73.9,D,April
4/19/2013,0.183,491.0421053,ONG,74.15,D,April
