Date,Cl,EC,Location,X2,WYT,Month
8/6/2012,58.3866,385.6145833,ONG,78.89,BN,August
12/20/2012,99.805,479.75,ONG,69.84,D,December
12/21/2012,76.26677778,462.8854167,ONG,69.53,D,December
12/22/2012,61.2697,461.53125,ONG,69.06,D,December
12/23/2012,64.47233333,461.9052632,ONG,68.33,D,December
12/24/2012,59.41211111,462.5729167,ONG,67.52,D,December
12/25/2012,62.26811111,460.4166667,ONG,66.67,D,December
12/26/2012,61.93711111,456.4375,ONG,65.8,D,December
12/27/2012,63.949,467.8823529,ONG,65,D,December
1/17/2013,69.88133333,582.8791209,ONG,65.02,D,January
1/18/2013,70.145,600.4255319,ONG,65.37,D,January
2/3/2013,78.23509091,634.9782609,ONG,68.59,D,February
2/4/2013,77.23390909,628.25,ONG,68.74,D,February
2/5/2013,76.90333333,614.0631579,ONG,68.9,D,February
2/6/2013,76.66566667,612.23,ONG,69.03,D,February
2/7/2013,76.94858333,614.1145833,ONG,69.16,D,February
2/8/2013,76.66745455,608.8020833,ONG,69.29,D,February
2/9/2013,75.6708,602.9166667,ONG,69.42,D,February
2/10/2013,76.13616667,606.4895833,ONG,69.55,D,February
2/11/2013,75.64925,598.9487179,ONG,69.63,D,February
2/12/2013,74.57116667,596.7588652,ONG,69.72,D,February
2/13/2013,74.45925,594.8656716,ONG,69.87,D,February
2/14/2013,74.541,595.5543478,ONG,70.04,D,February
2/21/2013,69.2092,498.5609756,ONG,71.22,D,February
2/22/2013,68.75675,501.2395833,ONG,71.4,D,February
2/23/2013,68.23145455,525.03125,ONG,71.65,D,February
2/24/2013,68.03433333,557.9270833,ONG,71.93,D,February
2/25/2013,68.05281818,550.7916667,ONG,72.22,D,February
2/26/2013,67.793,540.5833333,ONG,72.52,D,February
2/27/2013,67.06825,531.2150538,ONG,72.81,D,February
2/28/2013,65.8847,519.6575342,ONG,73.07,D,February
3/1/2013,62.8665,509.7282609,ONG,73.34,D,March
3/2/2013,62.36318182,498.5217391,ONG,73.66,D,March
3/3/2013,62.12258333,487.6421053,ONG,73.99,D,March
3/4/2013,61.62972727,495.6021505,ONG,74.23,D,March
3/5/2013,61.23125,491.8478261,ONG,74.51,D,March
3/6/2013,61.19966667,481.4347826,ONG,74.8,D,March
3/7/2013,60.82063636,480.0652174,ONG,75,D,March
3/8/2013,58.021,485.2765957,ONG,75.25,D,March
3/9/2013,52.6178,481.9891304,ONG,75.42,D,March
3/10/2013,52.188,481.6304348,ONG,75.62,D,March
3/11/2013,52.29585714,481.7263158,ONG,75.77,D,March
3/14/2013,55.0196,486.0326087,ONG,75.53,D,March
3/15/2013,54.90881818,488.5698925,ONG,75.47,D,March
3/16/2013,55.61066667,494.3333333,ONG,75.42,D,March
3/17/2013,55.36425,493.7717391,ONG,75.34,D,March
3/18/2013,53.82790909,481.5978261,ONG,75.28,D,March
3/19/2013,53.920875,483.8,ONG,75.21,D,March
3/20/2013,54.21875,484.2795699,ONG,75.2,D,March
3/21/2013,55.12777778,492,ONG,75.28,D,March
3/22/2013,55.52163636,492.0736842,ONG,75.37,D,March
3/23/2013,54.48683333,482.3548387,ONG,75.37,D,March
3/24/2013,55.79818182,498.7684211,ONG,75.52,D,March
3/25/2013,53.87666667,474.0215054,ONG,75.64,D,March
3/26/2013,52.88390909,479.5052632,ONG,75.75,D,March
3/27/2013,54.813,495.5053763,ONG,75.9,D,March
3/28/2013,56.18227273,496.1098901,ONG,76.16,D,March
3/29/2013,55.66490909,488.2282609,ONG,76.47,D,March
3/30/2013,54.88711111,483.4347826,ONG,76.66,D,March
3/31/2013,53.27745455,470.5434783,ONG,76.56,D,March
4/1/2013,53.77883333,477.6086957,ONG,76.17,D,April
4/2/2013,53.9195,482.7826087,ONG,75.76,D,April
4/3/2013,53.89341667,480.1684211,ONG,75.33,D,April
4/4/2013,64.55411111,487.1354167,ONG,74.9,D,April
4/10/2013,68.65333333,485,ONG,73.56,D,April
4/11/2013,69.16825,485.9157895,ONG,73.47,D,April
4/12/2013,69.665,486.7222222,ONG,73.43,D,April
4/13/2013,68.84966667,486.5157895,ONG,73.43,D,April
4/14/2013,68.91781818,486.5894737,ONG,73.47,D,April
4/15/2013,67.6045,486.7894737,ONG,73.52,D,April
4/16/2013,69.951,486.9789474,ONG,73.58,D,April
4/17/2013,67.50563636,487.2421053,ONG,73.7,D,April
4/18/2013,66.89181818,489,ONG,73.9,D,April
4/19/2013,66.56,491.0421053,ONG,74.15,D,April
4/22/2013,64.746,491.2613636,ONG,75.16,D,April
4/23/2013,67.08266667,491.0128205,ONG,75.53,D,April
4/24/2013,67.10725,491.0315789,ONG,75.92,D,April
4/25/2013,66.60822222,490.95,ONG,76.14,D,April
4/26/2013,65.85909091,491.6421053,ONG,76.24,D,April
4/27/2013,65.49675,492.1086957,ONG,76.25,D,April
4/28/2013,65.42475,491.7368421,ONG,76.15,D,April
4/29/2013,65.82577778,491.0215054,ONG,76.09,D,April
4/30/2013,66.9846,491,ONG,76.02,D,April
5/1/2013,68.35909091,491.3052632,ONG,75.97,D,May
5/2/2013,67.36666667,502.0631579,ONG,75.95,D,May
5/3/2013,67.24266667,496.2461538,ONG,76.03,D,May
5/8/2013,64.3014,493.9310345,ONG,76.36,D,May
5/9/2013,63.55266667,496.6170213,ONG,76.29,D,May
5/10/2013,71.81,496.09375,ONG,76.19,D,May
5/11/2013,66.76366667,496.1354167,ONG,76.1,D,May
5/15/2013,67.37133333,494.8308824,ONG,76.04,D,May
5/16/2013,64.835,495.5416667,ONG,76.14,D,May
5/17/2013,64.12871429,495.875,ONG,76.18,D,May
5/23/2013,66.7305,497.127907,ONG,76.39,D,May
5/24/2013,68.01,498.2083333,ONG,76.45,D,May
5/25/2013,67.51618182,497.71875,ONG,76.52,D,May
5/27/2013,67.41011111,497.2395833,ONG,76.62,D,May
5/28/2013,67.65863636,497.6770833,ONG,76.64,D,May
5/29/2013,67.59108333,497.59375,ONG,76.63,D,May
5/30/2013,68.09071429,495.8214286,ONG,76.58,D,May
5/31/2013,68.290875,493.8333333,ONG,76.52,D,May
6/1/2013,67.79375,494.3229167,ONG,76.58,D,June
