Date,SO4,EC,Location,X2,WYT,Month
8/6/2012,14.591,385.6145833,ONG,78.89,BN,August
10/10/2012,47.6015,571.2045455,ONG,86.03,D,October
10/11/2012,53.397,557.03125,ONG,86.22,D,October
10/12/2012,46.03666667,547.4895833,ONG,86.24,D,October
10/13/2012,48.954,548.90625,ONG,86.32,D,October
10/14/2012,48.625,543.9270833,ONG,86.41,D,October
10/15/2012,49.30066667,538.2291667,ONG,86.52,D,October
10/16/2012,47.943,534.5402299,ONG,86.67,D,October
10/24/2012,84.1275,483.3464052,ONG,85.44,D,October
10/25/2012,74.51577778,490.4375,ONG,85.09,D,October
10/26/2012,76.94977778,489.4791667,ONG,85.16,D,October
10/27/2012,69.69322222,496.6458333,ONG,85.76,D,October
10/28/2012,58.66655556,491.6770833,ONG,86.17,D,October
10/29/2012,50.19255556,477.0104167,ONG,86.37,D,October
10/30/2012,46.655875,475.5588235,ONG,86.46,D,October
10/31/2012,45.653,471.2291667,ONG,86.63,D,October
11/19/2012,58.836,505.9246575,ONG,85.19,D,November
11/20/2012,70.0745,513.3978495,ONG,84.68,D,November
11/21/2012,57.4362,490.375,ONG,84.13,D,November
11/22/2012,60.366,496.0729167,ONG,83.79,D,November
11/23/2012,65.26811111,498.5520833,ONG,83.52,D,November
11/24/2012,58.88711111,485.8958333,ONG,83.14,D,November
11/25/2012,60.8645,474.15625,ONG,82.91,D,November
11/27/2012,59.114,473.8139535,ONG,83.33,D,November
11/28/2012,64.102,465.2173913,ONG,83.62,D,November
11/29/2012,62.27644444,468.2988506,ONG,83.72,D,November
11/30/2012,68.655125,473.9673913,ONG,82.99,D,November
12/1/2012,63.20755556,474.6086957,ONG,81.88,D,December
12/2/2012,62.28788889,473.5652174,ONG,80.43,D,December
12/3/2012,57.31788889,478.8913043,ONG,78.99,D,December
12/4/2012,56.71511111,487.9565217,ONG,77.61,D,December
12/5/2012,64.87611111,503.4246575,ONG,76.39,D,December
12/6/2012,73.41122222,511.8913043,ONG,75.24,D,December
12/7/2012,73.18611111,520.5368421,ONG,74.23,D,December
12/8/2012,72.671,532.7956989,ONG,73.24,D,December
12/9/2012,81.3532,538.576087,ONG,72.35,D,December
12/10/2012,85.52177778,554.0666667,ONG,71.62,D,December
12/11/2012,91.02,563.974359,ONG,71.11,D,December
1/17/2013,58.69266667,582.8791209,ONG,65.02,D,January
1/18/2013,60.7195,600.4255319,ONG,65.37,D,January
1/19/2013,59.55891667,583.6344086,ONG,65.73,D,January
1/20/2013,53.903,544.0543478,ONG,66.09,D,January
1/21/2013,52.27391667,540.7934783,ONG,66.44,D,January
1/22/2013,53.42036364,543.2359551,ONG,66.8,D,January
1/23/2013,52.308,535.0854701,ONG,67.12,D,January
1/24/2013,51.46741667,529.0215054,ONG,67.38,D,January
1/25/2013,50.90366667,526.4673913,ONG,67.55,D,January
